"states","indicators","Unit","Date","Value"
"Ebonyi","Dried fish","","2006",109353
"Ebonyi","fried fish","","2006",5870
"Ebonyi","Smoked fish","","2006",10525
"Ebonyi","Bush meat","","2006",30286
"Ebonyi","Other Meat","","2006",41043
"Ebonyi","OTHER ROOT/TUBER","","2006",20875
"Edo","MAIZE (WHITE)","","2006",29865
"Edo","MAIZE (YELLOW)","","2006",4580
"Edo","RICE (LOCAL)","","2006",61709
"Edo","RICE (AGRIC)","","2006",105594
"Edo","RICE (IMPORTED)","","2006",254636
"Edo","MAIZE FLOUR","","2006",3525
"Edo","CASSAVA FLOUR","","2006",17337
"Edo","CASSAVA","","2006",47933
"Edo","Cassava (Akpu)","","2006",6650
"Edo","FRUITS (N)","","2006",90876
"Edo","VEGETABLE (N)","","2006",246617
"Edo","Fish fresh","","2006",56042
"Edo","Fish frozen","","2006",140061
"Edo","Dried fish","","2006",55193
"Edo","fried fish","","2006",12304
"Edo","Smoked fish","","2006",35119
"Edo","Bush meat","","2006",26686
"Edo","Other Meat","","2006",42856
"Edo","OTHER ROOT/TUBER","","2006",6266
"Ekiti","MAIZE (WHITE)","","2006",59405
"Ekiti","MAIZE (YELLOW)","","2006",1889
"Ekiti","RICE (LOCAL)","","2006",55010
"Ekiti","RICE (AGRIC)","","2006",54591
"Ekiti","RICE (IMPORTED)","","2006",216858
"Ekiti","MAIZE FLOUR","","2006",1971
"Ekiti","CASSAVA FLOUR","","2006",53739
"Ekiti","CASSAVA","","2006",12181
"Ekiti","Cassava (Akpu)","","2006",500
"Ekiti","FRUITS (N)","","2006",35963
"Ekiti","VEGETABLE (N)","","2006",293092
"Ekiti","Fish fresh","","2006",33092
"Ekiti","Fish frozen","","2006",133361
"Ekiti","Dried fish","","2006",18928
"Ekiti","fried fish","","2006",2645
"Ekiti","Smoked fish","","2006",3700
"Ekiti","Bush meat","","2006",13048
"Ekiti","Other Meat","","2006",37174
"Ekiti","OTHER ROOT/TUBER","","2006",654
"Enugu","MAIZE (WHITE)","","2006",84044
"Enugu","MAIZE (YELLOW)","","2006",51798
"Enugu","RICE (LOCAL)","","2006",185928
"Enugu","RICE (AGRIC)","","2006",59916
"Enugu","RICE (IMPORTED)","","2006",166605
"Enugu","MAIZE FLOUR","","2006",6480
"Enugu","CASSAVA FLOUR","","2006",87174
"Enugu","CASSAVA","","2006",299120
"Enugu","Cassava (Akpu)","","2006",27850
"Enugu","FRUITS (N)","","2006",192705
"Enugu","VEGETABLE (N)","","2006",412756
"Enugu","Fish fresh","","2006",19314
"Enugu","Fish frozen","","2006",190883
"Enugu","Dried fish","","2006",125261
"Enugu","fried fish","","2006",14041
"Enugu","Smoked fish","","2006",13732
"Enugu","Bush meat","","2006",17280
"Enugu","Other Meat","","2006",20070
"Enugu","OTHER ROOT/TUBER","","2006",4297
"Gombe","MAIZE (WHITE)","","2006",232125
"Gombe","MAIZE (YELLOW)","","2006",6642
"Gombe","RICE (LOCAL)","","2006",109947
"Gombe","RICE (AGRIC)","","2006",47323
